dteday,yr,hr,cnt
2011-05-06,0,16,344
2011-05-06,0,17,553
2011-05-06,0,18,470
2011-05-06,0,19,292
2011-05-06,0,20,190
2011-05-06,0,21,152
2011-05-06,0,22,151
2011-05-06,0,23,120
2011-05-07,0,0,86
2011-05-07,0,1,58
2011-05-07,0,2,52
2011-05-07,0,3,18
2011-05-07,0,4,5
2011-05-07,0,5,7
2011-05-07,0,6,13
2011-05-07,0,7,40
2011-05-07,0,8,115
2011-05-07,0,9,218
2011-05-07,0,10,298
2011-05-07,0,11,347
2011-05-07,0,12,373
2011-05-07,0,13,436
2011-05-07,0,14,378
2011-05-07,0,15,378
2011-05-07,0,16,342
2011-05-07,0,17,354
2011-05-07,0,18,289
2011-05-07,0,19,267
2011-05-07,0,20,219
2011-05-07,0,21,182
2011-05-07,0,22,120
2011-05-07,0,23,119
2011-05-08,0,0,100
2011-05-08,0,1,64
2011-05-08,0,2,59
2011-05-08,0,3,31
2011-05-08,0,4,10
2011-05-08,0,5,5
2011-05-08,0,6,6
2011-05-08,0,7,23
2011-05-08,0,8,86
2011-05-08,0,9,160
2011-05-08,0,10,244
2011-05-08,0,11,340
2011-05-08,0,12,382
2011-05-08,0,13,390
2011-05-08,0,14,366
2011-05-08,0,15,358
2011-05-08,0,16,385
2011-05-08,0,17,351
2011-05-08,0,18,268
2011-05-08,0,19,239
2011-05-08,0,20,174
2011-05-08,0,21,127
2011-05-08,0,22,115
2011-05-08,0,23,50
2011-05-09,0,0,53
2011-05-09,0,1,33
2011-05-09,0,2,8
2011-05-09,0,3,7
2011-05-09,0,4,4
2011-05-09,0,5,23
2011-05-09,0,6,89
2011-05-09,0,7,237
2011-05-09,0,8,374
2011-05-09,0,9,178
2011-05-09,0,10,119
2011-05-09,0,11,125
2011-05-09,0,12,195
2011-05-09,0,13,174
2011-05-09,0,14,162
2011-05-09,0,15,199
2011-05-09,0,16,304
2011-05-09,0,17,598
2011-05-09,0,18,524
2011-05-09,0,19,384
2011-05-09,0,20,239
2011-05-09,0,21,156
2011-05-09,0,22,116
2011-05-09,0,23,61
2011-05-10,0,0,18
2011-05-10,0,1,15
2011-05-10,0,2,5
2011-05-10,0,3,4
2011-05-10,0,4,2
2011-05-10,0,5,29
2011-05-10,0,6,112
2011-05-10,0,7,314
2011-05-10,0,8,425
2011-05-10,0,9,205
2011-05-10,0,10,127
2011-05-10,0,11,125
2011-05-10,0,12,217
2011-05-10,0,13,202
2011-05-10,0,14,176
2011-05-10,0,15,180
2011-05-10,0,16,327
2011-05-10,0,17,611
2011-05-10,0,18,550
2011-05-10,0,19,434
2011-05-10,0,20,291
2011-05-10,0,21,203
2011-05-10,0,22,150
2011-05-10,0,23,81
2011-05-11,0,0,38
2011-05-11,0,1,20
2011-05-11,0,2,10
2011-05-11,0,3,3
2011-05-11,0,4,2
2011-05-11,0,5,20
2011-05-11,0,6,99
2011-05-11,0,7,318
2011-05-11,0,8,442
2011-05-11,0,9,203
2011-05-11,0,10,154
2011-05-11,0,11,141
2011-05-11,0,12,226
2011-05-11,0,13,193
2011-05-11,0,14,177
2011-05-11,0,15,179
2011-05-11,0,16,289
2011-05-11,0,17,259
2011-05-11,0,18,274
2011-05-11,0,19,401
2011-05-11,0,20,273
2011-05-11,0,21,234
2011-05-11,0,22,146
2011-05-11,0,23,81
2011-05-12,0,0,44
2011-05-12,0,1,17
2011-05-12,0,2,15
2011-05-12,0,3,5
2011-05-12,0,4,6
2011-05-12,0,5,29
2011-05-12,0,6,112
2011-05-12,0,7,297
2011-05-12,0,8,421
2011-05-12,0,9,212
2011-05-12,0,10,147
2011-05-12,0,11,179
2011-05-12,0,12,207
2011-05-12,0,13,218
2011-05-12,0,14,191
2011-05-12,0,15,217
2011-05-12,0,16,288
2011-05-12,0,17,594
2011-05-12,0,18,527
2011-05-12,0,19,364
2011-05-12,0,20,276
2011-05-12,0,21,223
2011-05-12,0,22,172
2011-05-12,0,23,103
2011-05-13,0,0,52
2011-05-13,0,1,20
2011-05-13,0,2,11
2011-05-13,0,3,4
2011-05-13,0,4,5
2011-05-13,0,5,25
2011-05-13,0,6,82
2011-05-13,0,7,157
2011-05-13,0,8,387
2011-05-13,0,9,233
2011-05-13,0,10,130
2011-05-13,0,11,146
2011-05-13,0,12,223
2011-05-13,0,13,226
2011-05-13,0,14,190
2011-05-13,0,15,198
2011-05-13,0,16,300
2011-05-13,0,17,491
2011-05-13,0,18,398
2011-05-13,0,19,270
2011-05-13,0,20,152
2011-05-13,0,21,154
2011-05-13,0,22,132
2011-05-13,0,23,119
2011-05-14,0,0,102
2011-05-14,0,1,82
2011-05-14,0,2,52
2011-05-14,0,3,35
2011-05-14,0,4,5
2011-05-14,0,5,14
2011-05-14,0,6,11
2011-05-14,0,7,32
2011-05-14,0,8,88
2011-05-14,0,9,100
2011-05-14,0,10,167
2011-05-14,0,11,279
2011-05-14,0,12,279
2011-05-14,0,13,248
2011-05-14,0,14,216
2011-05-14,0,15,294
2011-05-14,0,16,295
2011-05-14,0,17,272
2011-05-14,0,18,304
2011-05-14,0,19,248
2011-05-14,0,20,157
2011-05-14,0,21,59
2011-05-14,0,22,26
2011-05-14,0,23,44
2011-05-15,0,0,39
2011-05-15,0,1,47
2011-05-15,0,2,50
2011-05-15,0,3,32
2011-05-15,0,4,13
2011-05-15,0,5,14
2011-05-15,0,6,17
2011-05-15,0,7,42
2011-05-15,0,8,70
2011-05-15,0,9,134
2011-05-15,0,10,226
2011-05-15,0,11,322
2011-05-15,0,12,367
2011-05-15,0,13,456
2011-05-15,0,14,437
2011-05-15,0,15,459
2011-05-15,0,16,440
2011-05-15,0,17,392
2011-05-15,0,18,237
2011-05-15,0,19,231
2011-05-15,0,20,191
2011-05-15,0,21,151
2011-05-15,0,22,117
2011-05-15,0,23,69
2011-05-16,0,0,38
2011-05-16,0,1,14
2011-05-16,0,2,13
2011-05-16,0,3,4
2011-05-16,0,4,6
2011-05-16,0,5,21
2011-05-16,0,6,104
2011-05-16,0,7,272
2011-05-16,0,8,394
2011-05-16,0,9,194
2011-05-16,0,10,112
2011-05-16,0,11,185
2011-05-16,0,12,209
2011-05-16,0,13,214
2011-05-16,0,14,193
2011-05-16,0,15,165
2011-05-16,0,16,226
2011-05-16,0,17,274
2011-05-16,0,18,453
2011-05-16,0,19,308
2011-05-16,0,20,198
2011-05-16,0,21,177
2011-05-16,0,22,127
2011-05-16,0,23,57
2011-05-17,0,0,31
2011-05-17,0,1,13
2011-05-17,0,2,8
2011-05-17,0,3,4
2011-05-17,0,4,4
2011-05-17,0,5,22
2011-05-17,0,6,49
2011-05-17,0,7,151
2011-05-17,0,8,347
2011-05-17,0,9,207
2011-05-17,0,10,104
2011-05-17,0,11,130
2011-05-17,0,12,153
2011-05-17,0,13,172
2011-05-17,0,14,184
2011-05-17,0,15,210
2011-05-17,0,16,290
2011-05-17,0,17,604
2011-05-17,0,18,480
2011-05-17,0,19,349
2011-05-17,0,20,283
2011-05-17,0,21,174
2011-05-17,0,22,98
2011-05-17,0,23,56
2011-05-18,0,0,23
2011-05-18,0,1,12
2011-05-18,0,2,6
2011-05-18,0,3,9
2011-05-18,0,4,3
2011-05-18,0,5,9
2011-05-18,0,6,101
2011-05-18,0,7,274
2011-05-18,0,8,453
2011-05-18,0,9,202
2011-05-18,0,10,106
2011-05-18,0,11,23
2011-05-18,0,12,54
2011-05-18,0,13,122
2011-05-18,0,14,138
2011-05-18,0,15,167
2011-05-18,0,16,294
2011-05-18,0,17,565
2011-05-18,0,18,489
2011-05-18,0,19,331
2011-05-18,0,20,213
2011-05-18,0,21,85
2011-05-18,0,22,117
2011-05-18,0,23,59
2011-05-19,0,0,29
2011-05-19,0,1,6
2011-05-19,0,2,15
2011-05-19,0,3,4
2011-05-19,0,4,5
2011-05-19,0,5,26
2011-05-19,0,6,103
2011-05-19,0,7,257
2011-05-19,0,8,487
2011-05-19,0,9,216
2011-05-19,0,10,130
2011-05-19,0,11,164
2011-05-19,0,12,168
2011-05-19,0,13,183
2011-05-19,0,14,180
2011-05-19,0,15,188
2011-05-19,0,16,302
2011-05-19,0,17,547
2011-05-19,0,18,513
2011-05-19,0,19,410
2011-05-19,0,20,282
2011-05-19,0,21,209
2011-05-19,0,22,79
2011-05-19,0,23,72
2011-05-20,0,0,48
2011-05-20,0,1,25
2011-05-20,0,2,8
2011-05-20,0,3,5
2011-05-20,0,4,5
2011-05-20,0,5,28
2011-05-20,0,6,117
2011-05-20,0,7,319
2011-05-20,0,8,517
2011-05-20,0,9,234
2011-05-20,0,10,148
2011-05-20,0,11,196
2011-05-20,0,12,255
2011-05-20,0,13,232
2011-05-20,0,14,197
2011-05-20,0,15,242
2011-05-20,0,16,330
2011-05-20,0,17,554
2011-05-20,0,18,473
2011-05-20,0,19,302
2011-05-20,0,20,220
2011-05-20,0,21,195
2011-05-20,0,22,152
2011-05-20,0,23,115
2011-05-21,0,0,98
2011-05-21,0,1,72
2011-05-21,0,2,40
2011-05-21,0,3,19
2011-05-21,0,4,7
2011-05-21,0,5,5
2011-05-21,0,6,28
2011-05-21,0,7,43
2011-05-21,0,8,126
2011-05-21,0,9,225
2011-05-21,0,10,323
2011-05-21,0,11,418
2011-05-21,0,12,493
2011-05-21,0,13,462
2011-05-21,0,14,456
2011-05-21,0,15,506
2011-05-21,0,16,471
2011-05-21,0,17,444
2011-05-21,0,18,444
2011-05-21,0,19,301
2011-05-21,0,20,248
2011-05-21,0,21,227
2011-05-21,0,22,204
2011-05-21,0,23,145
2011-05-22,0,0,131
2011-05-22,0,1,98
2011-05-22,0,2,68
2011-05-22,0,3,33
2011-05-22,0,4,12
2011-05-22,0,5,6
2011-05-22,0,6,18
2011-05-22,0,7,40
2011-05-22,0,8,94
2011-05-22,0,9,189
2011-05-22,0,10,305
2011-05-22,0,11,373
2011-05-22,0,12,401
2011-05-22,0,13,455
2011-05-22,0,14,316
2011-05-22,0,15,331
2011-05-22,0,16,273
2011-05-22,0,17,306
2011-05-22,0,18,358
2011-05-22,0,19,300
2011-05-22,0,20,231
2011-05-22,0,21,136
2011-05-22,0,22,121
2011-05-22,0,23,65
2011-05-23,0,0,41
2011-05-23,0,1,9
2011-05-23,0,2,5
2011-05-23,0,3,4
2011-05-23,0,4,4
2011-05-23,0,5,11
2011-05-23,0,6,96
2011-05-23,0,7,236
2011-05-23,0,8,409
2011-05-23,0,9,167
2011-05-23,0,10,121
2011-05-23,0,11,180
2011-05-23,0,12,204
2011-05-23,0,13,204
2011-05-23,0,14,187
2011-05-23,0,15,176
2011-05-23,0,16,279
2011-05-23,0,17,429
2011-05-23,0,18,453
2011-05-23,0,19,358
2011-05-23,0,20,310
2011-05-23,0,21,188
2011-05-23,0,22,131
2011-05-23,0,23,72
2011-05-24,0,0,35
2011-05-24,0,1,15
2011-05-24,0,2,10
2011-05-24,0,3,2
2011-05-24,0,4,4
2011-05-24,0,5,24
2011-05-24,0,6,112
2011-05-24,0,7,314
2011-05-24,0,8,434
2011-05-24,0,9,138
2011-05-24,0,10,108
2011-05-24,0,11,175
2011-05-24,0,12,170
2011-05-24,0,13,190
2011-05-24,0,14,153
2011-05-24,0,15,188
2011-05-24,0,16,277
2011-05-24,0,17,548
2011-05-24,0,18,564
2011-05-24,0,19,355
2011-05-24,0,20,280
2011-05-24,0,21,189
2011-05-24,0,22,141
2011-05-24,0,23,66
2011-05-25,0,0,35
2011-05-25,0,1,8
2011-05-25,0,2,8
2011-05-25,0,3,9
2011-05-25,0,4,3
2011-05-25,0,5,25
2011-05-25,0,6,117
2011-05-25,0,7,313
2011-05-25,0,8,531
2011-05-25,0,9,234
2011-05-25,0,10,135
2011-05-25,0,11,140
2011-05-25,0,12,210
2011-05-25,0,13,202
2011-05-25,0,14,168
2011-05-25,0,15,182
2011-05-25,0,16,299
2011-05-25,0,17,601
2011-05-25,0,18,517
2011-05-25,0,19,405
2011-05-25,0,20,340
2011-05-25,0,21,236
2011-05-25,0,22,174
2011-05-25,0,23,86
2011-05-26,0,0,45
2011-05-26,0,1,16
2011-05-26,0,2,14
2011-05-26,0,3,4
2011-05-26,0,4,2
2011-05-26,0,5,27
2011-05-26,0,6,98
2011-05-26,0,7,286
2011-05-26,0,8,489
2011-05-26,0,9,216
2011-05-26,0,10,143
2011-05-26,0,11,160
2011-05-26,0,12,194
2011-05-26,0,13,197
2011-05-26,0,14,189
2011-05-26,0,15,141
2011-05-26,0,16,291
2011-05-26,0,17,494
2011-05-26,0,18,478
2011-05-26,0,19,378
2011-05-26,0,20,322
2011-05-26,0,21,223
2011-05-26,0,22,180
2011-05-26,0,23,90
2011-05-27,0,0,69
2011-05-27,0,1,50
2011-05-27,0,2,18
2011-05-27,0,3,12
2011-05-27,0,4,7
2011-05-27,0,5,31
2011-05-27,0,6,81
2011-05-27,0,7,249
2011-05-27,0,8,418
2011-05-27,0,9,227
2011-05-27,0,10,153
2011-05-27,0,11,166
2011-05-27,0,12,243
2011-05-27,0,13,209
2011-05-27,0,14,239
2011-05-27,0,15,356
2011-05-27,0,16,419
2011-05-27,0,17,491
2011-05-27,0,18,399
2011-05-27,0,19,279
2011-05-27,0,20,144
2011-05-27,0,21,151
2011-05-27,0,22,141
2011-05-27,0,23,127
2011-05-28,0,0,94
2011-05-28,0,1,55
2011-05-28,0,2,48
2011-05-28,0,3,15
2011-05-28,0,4,4
2011-05-28,0,5,7
2011-05-28,0,6,19
2011-05-28,0,7,50
2011-05-28,0,8,102
2011-05-28,0,9,177
2011-05-28,0,10,276
2011-05-28,0,11,349
2011-05-28,0,12,358
2011-05-28,0,13,385
2011-05-28,0,14,382
2011-05-28,0,15,374
2011-05-28,0,16,402
2011-05-28,0,17,341
2011-05-28,0,18,385
2011-05-28,0,19,252
2011-05-28,0,20,196
2011-05-28,0,21,201
2011-05-28,0,22,161
2011-05-28,0,23,125
2011-05-29,0,0,83
2011-05-29,0,1,66
2011-05-29,0,2,61
2011-05-29,0,3,26
2011-05-29,0,4,23
2011-05-29,0,5,6
2011-05-29,0,6,15
2011-05-29,0,7,30
2011-05-29,0,8,96
2011-05-29,0,9,152
2011-05-29,0,10,251
2011-05-29,0,11,319
2011-05-29,0,12,402
2011-05-29,0,13,418
2011-05-29,0,14,351
2011-05-29,0,15,376
2011-05-29,0,16,361
2011-05-29,0,17,383
2011-05-29,0,18,328
2011-05-29,0,19,287
2011-05-29,0,20,219
2011-05-29,0,21,229
2011-05-29,0,22,171
2011-05-29,0,23,135
2011-05-30,0,0,103
2011-05-30,0,1,79
2011-05-30,0,2,45
2011-05-30,0,3,18
2011-05-30,0,4,6
2011-05-30,0,5,7
2011-05-30,0,6,16
2011-05-30,0,7,31
2011-05-30,0,8,94
2011-05-30,0,9,128
2011-05-30,0,10,269
2011-05-30,0,11,321
2011-05-30,0,12,366
2011-05-30,0,13,350
2011-05-30,0,14,327
2011-05-30,0,15,311
2011-05-30,0,16,309
2011-05-30,0,17,304
2011-05-30,0,18,249
2011-05-30,0,19,225
2011-05-30,0,20,237
2011-05-30,0,21,149
2011-05-30,0,22,106
2011-05-30,0,23,48
2011-05-31,0,0,29
2011-05-31,0,1,17
2011-05-31,0,2,12
2011-05-31,0,3,4
2011-05-31,0,4,3
2011-05-31,0,5,26
2011-05-31,0,6,109
2011-05-31,0,7,235
2011-05-31,0,8,406
2011-05-31,0,9,175
2011-05-31,0,10,109
2011-05-31,0,11,106
2011-05-31,0,12,162
2011-05-31,0,13,147
2011-05-31,0,14,140
2011-05-31,0,15,175
2011-05-31,0,16,249
2011-05-31,0,17,495
2011-05-31,0,18,417
2011-05-31,0,19,285
2011-05-31,0,20,251
2011-05-31,0,21,210
2011-05-31,0,22,159
2011-05-31,0,23,61
2011-06-01,0,0,34
2011-06-01,0,1,17
2011-06-01,0,2,3
2011-06-01,0,3,6
2011-06-01,0,4,4
2011-06-01,0,5,21
2011-06-01,0,6,128
2011-06-01,0,7,284
2011-06-01,0,8,454
2011-06-01,0,9,207
2011-06-01,0,10,115
2011-06-01,0,11,112
2011-06-01,0,12,169
2011-06-01,0,13,154
2011-06-01,0,14,145
2011-06-01,0,15,152
2011-06-01,0,16,266
2011-06-01,0,17,486
2011-06-01,0,18,309
2011-06-01,0,19,264
2011-06-01,0,20,256
2011-06-01,0,21,190
2011-06-01,0,22,129
2011-06-01,0,23,69
2011-06-02,0,0,42
2011-06-02,0,1,15
2011-06-02,0,2,6
2011-06-02,0,3,4
2011-06-02,0,4,3
2011-06-02,0,5,31
2011-06-02,0,6,113
2011-06-02,0,7,304
2011-06-02,0,8,467
2011-06-02,0,9,225
2011-06-02,0,10,139
2011-06-02,0,11,165
2011-06-02,0,12,232
2011-06-02,0,13,203
2011-06-02,0,14,185
2011-06-02,0,15,188
2011-06-02,0,16,318
2011-06-02,0,17,572
2011-06-02,0,18,525
2011-06-02,0,19,379
2011-06-02,0,20,337
2011-06-02,0,21,248
2011-06-02,0,22,155
2011-06-02,0,23,112
2011-06-03,0,0,68
2011-06-03,0,1,22
2011-06-03,0,2,12
2011-06-03,0,3,5
2011-06-03,0,4,6
2011-06-03,0,5,28
2011-06-03,0,6,106
2011-06-03,0,7,277
2011-06-03,0,8,502
2011-06-03,0,9,230
2011-06-03,0,10,161
2011-06-03,0,11,192
2011-06-03,0,12,259
2011-06-03,0,13,248
2011-06-03,0,14,240
2011-06-03,0,15,212
2011-06-03,0,16,349
2011-06-03,0,17,558
2011-06-03,0,18,564
2011-06-03,0,19,391
2011-06-03,0,20,293
2011-06-03,0,21,247
2011-06-03,0,22,171
2011-06-03,0,23,171
2011-06-04,0,0,93
2011-06-04,0,1,94
2011-06-04,0,2,59
2011-06-04,0,3,18
2011-06-04,0,4,15
2011-06-04,0,5,8
2011-06-04,0,6,28
2011-06-04,0,7,87
2011-06-04,0,8,125
2011-06-04,0,9,224
2011-06-04,0,10,317
2011-06-04,0,11,369
2011-06-04,0,12,420
2011-06-04,0,13,456
2011-06-04,0,14,451
2011-06-04,0,15,404
2011-06-04,0,16,440
2011-06-04,0,17,344
2011-06-04,0,18,341
2011-06-04,0,19,285
2011-06-04,0,20,239
2011-06-04,0,21,185
2011-06-04,0,22,190
2011-06-04,0,23,150
2011-06-05,0,0,113
2011-06-05,0,1,96
2011-06-05,0,2,64
2011-06-05,0,3,47
2011-06-05,0,4,12
2011-06-05,0,5,6
2011-06-05,0,6,21
2011-06-05,0,7,27
2011-06-05,0,8,98
2011-06-05,0,9,164
2011-06-05,0,10,251
2011-06-05,0,11,335
2011-06-05,0,12,335
2011-06-05,0,13,367
2011-06-05,0,14,385
2011-06-05,0,15,417
2011-06-05,0,16,398
2011-06-05,0,17,390
2011-06-05,0,18,363
2011-06-05,0,19,357
2011-06-05,0,20,279
2011-06-05,0,21,165
2011-06-05,0,22,130
2011-06-05,0,23,86
2011-06-06,0,0,29
2011-06-06,0,1,14
2011-06-06,0,2,8
2011-06-06,0,3,5
2011-06-06,0,4,8
2011-06-06,0,5,31
2011-06-06,0,6,112
2011-06-06,0,7,299
2011-06-06,0,8,438
2011-06-06,0,9,188
2011-06-06,0,10,95
2011-06-06,0,11,111
2011-06-06,0,12,153
2011-06-06,0,13,180
2011-06-06,0,14,145
2011-06-06,0,15,165
2011-06-06,0,16,267
2011-06-06,0,17,579
2011-06-06,0,18,556
2011-06-06,0,19,407
2011-06-06,0,20,336
2011-06-06,0,21,189
2011-06-06,0,22,173
2011-06-06,0,23,60
2011-06-07,0,0,20
2011-06-07,0,1,4
2011-06-07,0,2,5
2011-06-07,0,3,2
2011-06-07,0,4,5
2011-06-07,0,5,32
2011-06-07,0,6,126
2011-06-07,0,7,334
2011-06-07,0,8,477
2011-06-07,0,9,217
2011-06-07,0,10,123
2011-06-07,0,11,151
2011-06-07,0,12,183
2011-06-07,0,13,196
2011-06-07,0,14,146
2011-06-07,0,15,183
2011-06-07,0,16,308
2011-06-07,0,17,539
2011-06-07,0,18,551
2011-06-07,0,19,424
2011-06-07,0,20,346
2011-06-07,0,21,218
2011-06-07,0,22,153
2011-06-07,0,23,90
2011-06-08,0,0,41
2011-06-08,0,1,23
2011-06-08,0,2,7
2011-06-08,0,3,3
2011-06-08,0,4,6
2011-06-08,0,5,21
2011-06-08,0,6,116
2011-06-08,0,7,353
2011-06-08,0,8,481
2011-06-08,0,9,202
2011-06-08,0,10,90
2011-06-08,0,11,134
2011-06-08,0,12,149
2011-06-08,0,13,136
2011-06-08,0,14,155
2011-06-08,0,15,128
2011-06-08,0,16,233
2011-06-08,0,17,506
2011-06-08,0,18,459
2011-06-08,0,19,384
2011-06-08,0,20,280
2011-06-08,0,21,202
2011-06-08,0,22,176
2011-06-08,0,23,116
2011-06-09,0,0,47
2011-06-09,0,1,16
2011-06-09,0,2,6
2011-06-09,0,3,2
2011-06-09,0,4,6
2011-06-09,0,5,20
2011-06-09,0,6,118
2011-06-09,0,7,314
2011-06-09,0,8,432
2011-06-09,0,9,168
2011-06-09,0,10,94
2011-06-09,0,11,118
2011-06-09,0,12,140
2011-06-09,0,13,136
2011-06-09,0,14,118
2011-06-09,0,15,104
2011-06-09,0,16,200
2011-06-09,0,17,409
2011-06-09,0,18,466
2011-06-09,0,19,326
2011-06-09,0,20,254
2011-06-09,0,21,171
2011-06-09,0,22,153
2011-06-09,0,23,97
2011-06-10,0,0,69
2011-06-10,0,1,23
2011-06-10,0,2,13
2011-06-10,0,3,6
2011-06-10,0,4,4
2011-06-10,0,5,28
2011-06-10,0,6,104
2011-06-10,0,7,267
2011-06-10,0,8,452
2011-06-10,0,9,213
2011-06-10,0,10,111
2011-06-10,0,11,153
2011-06-10,0,12,207
2011-06-10,0,13,189
2011-06-10,0,14,165
2011-06-10,0,15,212
2011-06-10,0,16,285
2011-06-10,0,17,517
2011-06-10,0,18,463
2011-06-10,0,19,306
2011-06-10,0,20,250
2011-06-10,0,21,218
2011-06-10,0,22,185
2011-06-10,0,23,146
2011-06-11,0,0,117
2011-06-11,0,1,77
2011-06-11,0,2,60
2011-06-11,0,3,28
2011-06-11,0,4,13
2011-06-11,0,5,16
2011-06-11,0,6,40
2011-06-11,0,7,68
2011-06-11,0,8,143
2011-06-11,0,9,230
2011-06-11,0,10,264
2011-06-11,0,11,325
2011-06-11,0,12,347
2011-06-11,0,13,387
2011-06-11,0,14,380
2011-06-11,0,15,374
2011-06-11,0,16,394
2011-06-11,0,17,337
2011-06-11,0,18,286
2011-06-11,0,19,264
2011-06-11,0,20,275
2011-06-11,0,21,220
2011-06-11,0,22,190
2011-06-11,0,23,131
2011-06-12,0,0,119
2011-06-12,0,1,93
2011-06-12,0,2,66
2011-06-12,0,3,28
2011-06-12,0,4,14
2011-06-12,0,5,10
2011-06-12,0,6,14
2011-06-12,0,7,34
2011-06-12,0,8,92
2011-06-12,0,9,182
2011-06-12,0,10,311
2011-06-12,0,11,367
2011-06-12,0,12,420
2011-06-12,0,13,373
2011-06-12,0,14,315
2011-06-12,0,15,360
2011-06-12,0,16,350
2011-06-12,0,17,252
2011-06-12,0,18,256
2011-06-12,0,19,223
2011-06-12,0,20,206
2011-06-12,0,21,140
2011-06-12,0,22,128
2011-06-12,0,23,107
2011-06-13,0,0,28
2011-06-13,0,1,16
2011-06-13,0,2,10
2011-06-13,0,3,7
2011-06-13,0,4,4
2011-06-13,0,5,29
2011-06-13,0,6,105
2011-06-13,0,7,328
2011-06-13,0,8,476
2011-06-13,0,9,224
2011-06-13,0,10,118
2011-06-13,0,11,159
2011-06-13,0,12,196
2011-06-13,0,13,227
2011-06-13,0,14,200
2011-06-13,0,15,185
2011-06-13,0,16,326
2011-06-13,0,17,601
2011-06-13,0,18,586
2011-06-13,0,19,423
2011-06-13,0,20,331
2011-06-13,0,21,218
2011-06-13,0,22,134
2011-06-13,0,23,89
2011-06-14,0,0,31
2011-06-14,0,1,13
2011-06-14,0,2,10
2011-06-14,0,3,2
2011-06-14,0,4,3
2011-06-14,0,5,26
2011-06-14,0,6,113
2011-06-14,0,7,365
2011-06-14,0,8,486
2011-06-14,0,9,193
2011-06-14,0,10,130
2011-06-14,0,11,143
2011-06-14,0,12,169
2011-06-14,0,13,209
2011-06-14,0,14,159
2011-06-14,0,15,178
2011-06-14,0,16,330
2011-06-14,0,17,569
2011-06-14,0,18,538
2011-06-14,0,19,386
2011-06-14,0,20,297
2011-06-14,0,21,243
2011-06-14,0,22,188
2011-06-14,0,23,110
2011-06-15,0,0,52
2011-06-15,0,1,14
2011-06-15,0,2,9
2011-06-15,0,3,1
2011-06-15,0,4,4
2011-06-15,0,5,21
2011-06-15,0,6,121
2011-06-15,0,7,370
2011-06-15,0,8,498
2011-06-15,0,9,207
2011-06-15,0,10,135
2011-06-15,0,11,164
2011-06-15,0,12,211
2011-06-15,0,13,189
2011-06-15,0,14,178
2011-06-15,0,15,164
2011-06-15,0,16,312
2011-06-15,0,17,638
2011-06-15,0,18,607
2011-06-15,0,19,416
2011-06-15,0,20,330
2011-06-15,0,21,257
2011-06-15,0,22,175
2011-06-15,0,23,107
2011-06-16,0,0,47
2011-06-16,0,1,17
2011-06-16,0,2,5
2011-06-16,0,3,4
2011-06-16,0,4,6
2011-06-16,0,5,25
2011-06-16,0,6,112
2011-06-16,0,7,188
2011-06-16,0,8,388
2011-06-16,0,9,261
2011-06-16,0,10,121
2011-06-16,0,11,150
2011-06-16,0,12,206
2011-06-16,0,13,151
2011-06-16,0,14,153
2011-06-16,0,15,159
2011-06-16,0,16,294
2011-06-16,0,17,272
2011-06-16,0,18,325
2011-06-16,0,19,327
2011-06-16,0,20,201
2011-06-16,0,21,188
2011-06-16,0,22,151
2011-06-16,0,23,16
2011-06-17,0,0,24
2011-06-17,0,1,23
2011-06-17,0,2,13
2011-06-17,0,3,6
2011-06-17,0,4,6
2011-06-17,0,5,13
2011-06-17,0,6,97
2011-06-17,0,7,250
2011-06-17,0,8,454
2011-06-17,0,9,224
2011-06-17,0,10,170
2011-06-17,0,11,181
2011-06-17,0,12,243
2011-06-17,0,13,204
2011-06-17,0,14,215
2011-06-17,0,15,243
2011-06-17,0,16,355
2011-06-17,0,17,552
2011-06-17,0,18,450
2011-06-17,0,19,328
2011-06-17,0,20,232
2011-06-17,0,21,208
2011-06-17,0,22,175
2011-06-17,0,23,178
2011-06-18,0,0,104
2011-06-18,0,1,95
2011-06-18,0,2,53
2011-06-18,0,3,20
2011-06-18,0,4,5
2011-06-18,0,5,7
2011-06-18,0,6,27
2011-06-18,0,7,57
2011-06-18,0,8,131
2011-06-18,0,9,218
2011-06-18,0,10,244
2011-06-18,0,11,404
2011-06-18,0,12,420
2011-06-18,0,13,327
2011-06-18,0,14,334
2011-06-18,0,15,367
2011-06-18,0,16,468
2011-06-18,0,17,449
2011-06-18,0,18,381
2011-06-18,0,19,326
2011-06-18,0,20,188
2011-06-18,0,21,183
2011-06-18,0,22,161
2011-06-18,0,23,150
2011-06-19,0,0,89
2011-06-19,0,1,76
2011-06-19,0,2,72
2011-06-19,0,3,30
2011-06-19,0,4,17
2011-06-19,0,5,19
2011-06-19,0,6,33
2011-06-19,0,7,71
2011-06-19,0,8,84
2011-06-19,0,9,169
2011-06-19,0,10,244
2011-06-19,0,11,377
2011-06-19,0,12,396
2011-06-19,0,13,363
2011-06-19,0,14,317
2011-06-19,0,15,362
2011-06-19,0,16,378
2011-06-19,0,17,397
2011-06-19,0,18,296
2011-06-19,0,19,311
2011-06-19,0,20,232
2011-06-19,0,21,167
2011-06-19,0,22,152
2011-06-19,0,23,92
2011-06-20,0,0,26
2011-06-20,0,1,12
2011-06-20,0,2,2
2011-06-20,0,3,1
2011-06-20,0,4,3
2011-06-20,0,5,3
2011-06-20,0,6,26
2011-06-20,0,7,46
2011-06-20,0,8,221
2011-06-20,0,9,219
2011-06-20,0,10,91
